fecha,caudal
2025-01-27 03:51:00.081141,177.0
2025-01-27 03:52:00.059553,185.0
2025-01-27 03:53:00.168787,62.0
2025-01-27 03:54:00.084045,185.29999999981374
2025-01-27 03:55:00.227301,184.40000000037253
2025-01-27 03:56:00.151964,176.79999999981374
2025-01-27 03:57:00.145160,63.5
2025-01-27 03:58:00.214372,176.5
2025-01-27 03:59:00.092913,176.5
2025-01-27 04:00:00.224161,176.70000000018626
2025-01-27 04:01:00.176380,124.29999999981374
2025-01-27 04:02:00.154011,178.0
2025-01-27 04:03:00.162536,123.0
2025-01-27 04:04:00.116654,0.0
2025-01-27 04:05:00.089980,0.0
2025-01-27 04:06:00.140732,61.5
2025-01-27 04:07:00.197712,187.20000000018626
2025-01-27 04:08:00.250566,124.79999999981374
2025-01-27 04:09:00.124343,185.5
2025-01-27 04:10:00.165184,185.0
2025-01-27 04:11:00.120796,186.5
2025-01-27 04:12:00.243324,177.0
2025-01-27 04:13:00.238624,177.5
2025-01-27 04:14:00.177121,116.5
2025-01-27 04:15:00.188157,184.79999999981374
2025-01-27 04:16:00.159916,124.40000000037253
2025-01-27 04:17:00.232723,185.29999999981374
2025-01-27 04:18:00.193203,123.70000000018626
2025-01-27 04:19:00.179704,185.29999999981374
2025-01-27 04:20:00.174717,0.5
2025-01-27 04:21:00.079095,0.0
2025-01-27 04:22:00.142441,123.20000000018626
2025-01-27 04:23:00.204489,185.59999999962747
2025-01-27 04:24:00.143977,186.0
2025-01-27 04:25:00.080443,60.700000000186265
2025-01-27 04:26:00.052290,177.5
2025-01-27 04:27:00.080363,61.799999999813735
2025-01-27 04:28:00.065730,0.0
2025-01-27 04:29:00.092633,186.0
2025-01-27 04:30:00.053754,186.70000000018626
2025-01-27 04:31:00.209736,187.29999999981374
2025-01-27 04:32:00.105171,185.0
2025-01-27 04:33:00.051817,63.0
2025-01-27 04:34:00.183419,0.0
2025-01-27 04:35:00.071783,0.0
2025-01-27 04:36:00.213876,175.40000000037253
2025-01-27 04:37:00.188092,184.29999999981374
2025-01-27 04:38:00.180661,125.0
2025-01-27 04:39:00.085447,187.29999999981374
2025-01-27 04:40:00.259620,186.40000000037253
2025-01-27 04:41:00.053329,0.0
2025-01-27 04:42:00.132455,0.0
2025-01-27 04:43:00.038750,183.79999999981374
2025-01-27 04:44:00.135966,186.20000000018626
2025-01-27 04:45:00.148674,121.59999999962747
2025-01-27 04:46:00.103311,123.40000000037253
2025-01-27 04:47:00.101521,124.59999999962747
2025-01-27 04:48:00.185820,124.0
2025-01-27 04:49:00.182016,124.70000000018626
2025-01-27 04:50:00.069402,184.70000000018626
2025-01-27 04:51:00.165642,124.59999999962747
2025-01-27 04:52:00.057012,124.40000000037253
2025-01-27 04:53:00.208928,0.0
2025-01-27 04:54:00.109821,0.0
2025-01-27 04:55:00.192611,114.79999999981374
2025-01-27 04:56:00.041520,185.5
2025-01-27 04:57:00.137168,123.29999999981374
2025-01-27 05:07:00.805723,2677900.8
